open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,symbol,exchange,date
166.85,166.9,164.2,165.95,117559.0,,,147.1041,,,1.0,AENA.BMEX,BMEX,2017-08-01T00:00:00
162.9,166.8,162.55,165.25,191652.0,,,146.4836,,,1.0,AENA.BMEX,BMEX,2017-07-31T00:00:00
164.7,165.25,162.65,163.25,176115.0,,,144.7108,,,1.0,AENA.BMEX,BMEX,2017-07-28T00:00:00
168.75,168.75,164.05,166.1,146004.0,,,147.2371,,,1.0,AENA.BMEX,BMEX,2017-07-27T00:00:00
166.8,169.15,166.25,167.85,134392.0,,,148.7884,,,1.0,AENA.BMEX,BMEX,2017-07-26T00:00:00
165.9,168.25,165.7,166.45,216315.0,,,147.5474,,,1.0,AENA.BMEX,BMEX,2017-07-25T00:00:00
166.5,167.15,165.55,165.85,150480.0,,,147.0155,,,1.0,AENA.BMEX,BMEX,2017-07-24T00:00:00
168.05,169.9,165.65,166.4,597756.0,,,147.503,,,1.0,AENA.BMEX,BMEX,2017-07-21T00:00:00
173.35,174.45,167.0,167.65,550396.0,,,148.6111,,,1.0,AENA.BMEX,BMEX,2017-07-20T00:00:00
168.0,172.45,167.85,171.95,303553.0,,,152.4227,,,1.0,AENA.BMEX,BMEX,2017-07-19T00:00:00
168.6,169.45,167.85,168.1,832350.0,,,149.01,,,1.0,AENA.BMEX,BMEX,2017-07-18T00:00:00
171.0,171.45,168.5,170.0,266498.0,,,150.6943,,,1.0,AENA.BMEX,BMEX,2017-07-17T00:00:00
169.6,170.7,169.0,170.65,126886.0,,,151.2704,,,1.0,AENA.BMEX,BMEX,2017-07-14T00:00:00
169.85,170.75,168.35,168.7,235660.0,,,149.5419,,,1.0,AENA.BMEX,BMEX,2017-07-13T00:00:00
166.55,169.5,166.55,168.8,222873.0,,,149.6305,,,1.0,AENA.BMEX,BMEX,2017-07-12T00:00:00
167.7,168.0,165.9,166.6,289917.0,,,147.6804,,,1.0,AENA.BMEX,BMEX,2017-07-11T00:00:00
168.0,168.3,167.15,167.3,165121.0,,,148.3009,,,1.0,AENA.BMEX,BMEX,2017-07-10T00:00:00
164.55,166.65,164.55,166.65,204825.0,,,147.7247,,,1.0,AENA.BMEX,BMEX,2017-07-07T00:00:00
166.95,167.95,163.8,164.7,255905.0,,,145.9961,,,1.0,AENA.BMEX,BMEX,2017-07-06T00:00:00
167.15,168.6,166.85,167.05,169919.0,,,148.0792,,,1.0,AENA.BMEX,BMEX,2017-07-05T00:00:00
168.05,168.75,167.45,167.5,145954.0,,,148.4781,,,1.0,AENA.BMEX,BMEX,2017-07-04T00:00:00
171.35,172.0,168.3,169.1,330728.0,,,149.8965,,,1.0,AENA.BMEX,BMEX,2017-07-03T00:00:00
169.45,172.7,169.3,170.85,335366.0,,,151.4477,,,1.0,AENA.BMEX,BMEX,2017-06-30T00:00:00
174.45,174.7,169.3,169.3,182557.0,,,150.0737,,,1.0,AENA.BMEX,BMEX,2017-06-29T00:00:00
171.1,174.9,170.1,173.6,186732.0,,,153.8855,,,1.0,AENA.BMEX,BMEX,2017-06-28T00:00:00
173.25,174.2,171.25,171.5,212971.0,,,152.0239,,,1.0,AENA.BMEX,BMEX,2017-06-27T00:00:00
171.55,175.3,170.0,174.1,269872.0,,,154.3286,,,1.0,AENA.BMEX,BMEX,2017-06-26T00:00:00
176.5,177.2,174.85,174.9,248941.0,,,155.0378,,,1.0,AENA.BMEX,BMEX,2017-06-23T00:00:00
176.85,178.7,175.35,176.75,321674.0,,,156.6777,,,1.0,AENA.BMEX,BMEX,2017-06-22T00:00:00
178.5,179.3,176.55,178.3,239332.0,,,158.0517,,,1.0,AENA.BMEX,BMEX,2017-06-21T00:00:00
