open,high,low,last,close,volume,date,symbol,exchange
221.695,221.715,221.645,,221.715,,2020-06-11T21:50:00+0000,AMGN,IEXG
221.67,221.685,221.67,,221.675,,2020-06-11T21:45:00+0000,AMGN,IEXG
221.965,221.965,221.84,,221.875,,2020-06-11T21:40:00+0000,AMGN,IEXG
222.565,222.565,222.32,,222.32,,2020-06-11T21:35:00+0000,AMGN,IEXG
222.52,222.655,222.52,,222.655,,2020-06-11T21:30:00+0000,AMGN,IEXG
222.78,222.885,222.71,,222.71,,2020-06-11T21:25:00+0000,AMGN,IEXG
222.965,222.965,222.965,,222.965,,2020-06-11T21:20:00+0000,AMGN,IEXG
222.94,222.94,222.85,,222.92,,2020-06-11T21:15:00+0000,AMGN,IEXG
222.96,222.96,222.8,,222.8,,2020-06-11T21:10:00+0000,AMGN,IEXG
223.305,223.305,223.305,,223.305,,2020-06-11T21:05:00+0000,AMGN,IEXG
222.98,223.255,222.915,,223.255,,2020-06-11T21:00:00+0000,AMGN,IEXG
222.73,222.73,222.7,,222.7,,2020-06-11T20:55:00+0000,AMGN,IEXG
222.9,222.9,222.9,,222.9,,2020-06-11T20:50:00+0000,AMGN,IEXG
223.605,223.605,223.605,,223.605,,2020-06-11T20:45:00+0000,AMGN,IEXG
223.99,224.14,223.99,,224.02,,2020-06-11T20:40:00+0000,AMGN,IEXG
224.04,224.05,224.035,,224.05,,2020-06-11T20:35:00+0000,AMGN,IEXG
223.45,223.45,223.45,,223.45,,2020-06-11T20:30:00+0000,AMGN,IEXG
223.32,223.32,223.03,,223.03,,2020-06-11T20:25:00+0000,AMGN,IEXG
223.56,223.56,223.56,,223.56,,2020-06-11T20:20:00+0000,AMGN,IEXG
224.185,224.185,224.09,,224.09,,2020-06-11T20:15:00+0000,AMGN,IEXG
224.095,224.095,223.81,,223.81,,2020-06-11T20:10:00+0000,AMGN,IEXG
224.875,225.06,224.875,,224.915,,2020-06-11T20:05:00+0000,AMGN,IEXG
225.235,225.235,225.02,,225.02,,2020-06-11T20:00:00+0000,AMGN,IEXG
225.53,225.53,225.53,,225.53,,2020-06-11T19:55:00+0000,AMGN,IEXG
224.95,225.14,224.95,,225.14,,2020-06-11T19:50:00+0000,AMGN,IEXG
225.82,225.84,225.82,,225.84,,2020-06-11T19:45:00+0000,AMGN,IEXG
225.685,225.685,225.685,,225.685,,2020-06-11T19:40:00+0000,AMGN,IEXG
225.505,225.505,225.505,,225.505,,2020-06-11T19:35:00+0000,AMGN,IEXG
225.77,225.77,225.77,,225.77,,2020-06-11T19:30:00+0000,AMGN,IEXG
225.66,225.66,225.66,,225.66,,2020-06-11T19:25:00+0000,AMGN,IEXG
225.755,225.83,225.755,,225.83,,2020-06-11T19:20:00+0000,AMGN,IEXG
225.565,225.61,225.48,,225.61,,2020-06-11T19:15:00+0000,AMGN,IEXG
225.69,225.69,225.69,,225.69,,2020-06-11T19:10:00+0000,AMGN,IEXG
226.05,226.265,226.05,,226.215,,2020-06-11T19:05:00+0000,AMGN,IEXG
226.185,226.185,225.98,,226.065,,2020-06-11T19:00:00+0000,AMGN,IEXG
226.02,226.075,225.99,,226.01,,2020-06-11T18:55:00+0000,AMGN,IEXG
226.095,226.095,226.095,,226.095,,2020-06-11T18:50:00+0000,AMGN,IEXG
226.47,226.55,226.47,,226.55,,2020-06-11T18:45:00+0000,AMGN,IEXG
226.87,226.87,226.87,,226.87,,2020-06-11T18:40:00+0000,AMGN,IEXG
226.5,226.5,226.46,,226.46,,2020-06-11T18:35:00+0000,AMGN,IEXG
225.82,225.82,225.82,,225.82,,2020-06-11T18:30:00+0000,AMGN,IEXG
225.245,225.435,225.235,,225.435,,2020-06-11T18:25:00+0000,AMGN,IEXG
224.97,224.97,224.97,,224.97,,2020-06-11T18:20:00+0000,AMGN,IEXG
226.525,226.525,226.185,,226.205,,2020-06-11T18:15:00+0000,AMGN,IEXG
226.62,226.8,226.62,,226.8,,2020-06-11T18:10:00+0000,AMGN,IEXG
227.01,227.035,226.99,,226.99,,2020-06-11T18:05:00+0000,AMGN,IEXG
226.95,227.105,226.95,,227.105,,2020-06-11T18:00:00+0000,AMGN,IEXG
227.01,227.01,227.01,,227.01,,2020-06-11T17:55:00+0000,AMGN,IEXG
227.11,227.11,227.04,,227.04,,2020-06-11T17:50:00+0000,AMGN,IEXG
227.04,227.04,226.89,,226.89,,2020-06-11T17:45:00+0000,AMGN,IEXG
227.4,227.4,227.295,,227.36,,2020-06-11T17:40:00+0000,AMGN,IEXG
228.06,228.335,227.71,,228.24,,2020-06-11T17:35:00+0000,AMGN,IEXG
228.06,229.55,227.985,,229.485,,2020-06-11T17:30:00+0000,AMGN,IEXG
226.0,228.31,224.57,224.9,225.75,2285479.0,2020-06-10T00:00:00+0000,AMGN,IEXG
225.855,228.27,224.57,225.23,225.75,74802.0,2020-06-09T19:55:59+0000,AMGN,IEXG
225.855,228.27,224.57,225.0,225.75,74179.0,2020-06-09T19:55:00+0000,AMGN,IEXG
225.855,228.27,224.57,224.835,225.75,72441.0,2020-06-09T19:50:41+0000,AMGN,IEXG
225.855,228.27,224.57,225.07,225.75,68270.0,2020-06-09T19:40:47+0000,AMGN,IEXG
