open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,symbol,exchange,date
12.4,12.6499,12.18,12.6,9933873.03,,,5.4822,,,1.0,BBVA.BMEX,BMEX,2001-11-01T00:00:00
12.2,12.5599,12.05,12.43,25767075.63,,,5.4081,,,1.0,BBVA.BMEX,BMEX,2001-10-31T00:00:00
12.3,12.35,12.03,12.18,26472138.2,,,5.2995,,,1.0,BBVA.BMEX,BMEX,2001-10-30T00:00:00
13.17,13.17,12.6201,12.66,25462017.65,,,5.5081,,,1.0,BBVA.BMEX,BMEX,2001-10-29T00:00:00
13.27,13.35,12.95,13.2,23837546.31,,,5.7431,,,1.0,BBVA.BMEX,BMEX,2001-10-26T00:00:00
13.69,13.7,13.0201,13.12,19220623.87,,,5.7082,,,1.0,BBVA.BMEX,BMEX,2001-10-25T00:00:00
13.16,13.77,13.12,13.58,21386105.13,,,5.9082,,,1.0,BBVA.BMEX,BMEX,2001-10-24T00:00:00
12.9399,13.3399,12.85,13.3399,22450230.53,,,5.8041,,,1.0,BBVA.BMEX,BMEX,2001-10-23T00:00:00
12.4901,12.7801,12.3801,12.75,13883893.05,,,5.5473,,,1.0,BBVA.BMEX,BMEX,2001-10-22T00:00:00
12.9101,13.01,12.32,12.35,19976558.52,,,5.3732,,,1.0,BBVA.BMEX,BMEX,2001-10-19T00:00:00
12.6699,13.0,12.61,12.9199,18047411.02,,,5.6213,,,1.0,BBVA.BMEX,BMEX,2001-10-18T00:00:00
12.53,13.08,12.5101,13.0,27349177.37,,,5.656,,,1.0,BBVA.BMEX,BMEX,2001-10-17T00:00:00
12.0901,12.4901,12.03,12.4,15378124.92,,,5.3949,,,1.0,BBVA.BMEX,BMEX,2001-10-16T00:00:00
12.2401,12.43,11.86,11.9899,21164832.36,,,5.2163,,,1.0,BBVA.BMEX,BMEX,2001-10-15T00:00:00
12.2,12.73,12.1399,12.33,24861321.17,,,5.3645,,,1.0,BBVA.BMEX,BMEX,2001-10-11T00:00:00
11.28,12.1,11.2701,12.1,26271079.31,,,5.2647,,,1.0,BBVA.BMEX,BMEX,2001-10-10T00:00:00
11.22,11.6,11.04,11.46,17880987.11,,,4.9559,,,1.0,BBVA.BMEX,BMEX,2001-10-09T00:00:00
11.2999,11.3199,10.8701,11.2501,25133941.96,,,4.8648,,,1.0,BBVA.BMEX,BMEX,2001-10-08T00:00:00
11.7399,11.8,11.28,11.4,34767495.31,,,4.93,,,1.0,BBVA.BMEX,BMEX,2001-10-05T00:00:00
11.44,12.0,11.37,12.0,36996702.31,,,5.1893,,,1.0,BBVA.BMEX,BMEX,2001-10-04T00:00:00
11.2501,11.47,11.01,11.2999,31154160.28,,,4.8867,,,1.0,BBVA.BMEX,BMEX,2001-10-03T00:00:00
11.06,11.36,10.86,11.3199,26439849.09,,,4.895,,,1.0,BBVA.BMEX,BMEX,2001-10-02T00:00:00
11.36,11.36,10.81,11.05,25454929.26,,,4.7785,,,1.0,BBVA.BMEX,BMEX,2001-10-01T00:00:00
11.35,11.58,11.26,11.2999,39335956.06,,,4.8867,,,1.0,BBVA.BMEX,BMEX,2001-09-28T00:00:00
10.8999,11.2,10.7601,11.2,45329629.39,,,4.8432,,,1.0,BBVA.BMEX,BMEX,2001-09-27T00:00:00
10.73,11.2701,10.61,10.95,32263617.77,,,4.7355,,,1.0,BBVA.BMEX,BMEX,2001-09-26T00:00:00
10.6299,10.97,10.3401,10.8,45251288.99,,,4.6705,,,1.0,BBVA.BMEX,BMEX,2001-09-25T00:00:00
9.6501,10.55,9.6501,10.55,30682541.96,,,4.5621,,,1.0,BBVA.BMEX,BMEX,2001-09-24T00:00:00
10.0701,10.12,9.18,9.5,44302296.59,,,4.1083,,,1.0,BBVA.BMEX,BMEX,2001-09-21T00:00:00
10.8999,11.05,10.18,10.27,25860213.66,,,4.4413,,,1.0,BBVA.BMEX,BMEX,2001-09-20T00:00:00
11.2701,11.4201,10.75,10.88,30714725.3,,,4.7052,,,1.0,BBVA.BMEX,BMEX,2001-09-19T00:00:00
11.2501,11.4,10.81,11.4,22295538.11,,,4.93,,,1.0,BBVA.BMEX,BMEX,2001-09-18T00:00:00
11.0,11.52,10.5199,11.5,18439133.13,,,4.9729,,,1.0,BBVA.BMEX,BMEX,2001-09-17T00:00:00
11.9899,12.26,11.05,11.15,19751999.62,,,4.8215,,,1.0,BBVA.BMEX,BMEX,2001-09-14T00:00:00
12.1101,12.2401,11.88,12.08,20805338.01,,,5.2237,,,1.0,BBVA.BMEX,BMEX,2001-09-13T00:00:00
11.66,12.5101,11.66,12.19,22007856.33,,,5.2717,,,1.0,BBVA.BMEX,BMEX,2001-09-12T00:00:00
12.95,13.0601,11.9,12.44,24394336.43,,,5.3795,,,1.0,BBVA.BMEX,BMEX,2001-09-11T00:00:00
13.01,13.15,12.45,12.8901,17174221.71,,,5.5742,,,1.0,BBVA.BMEX,BMEX,2001-09-10T00:00:00
13.37,13.4699,12.9399,13.0,22309531.92,,,5.6216,,,1.0,BBVA.BMEX,BMEX,2001-09-07T00:00:00
13.8401,13.85,13.2,13.35,15040648.8,,,5.7732,,,1.0,BBVA.BMEX,BMEX,2001-09-06T00:00:00
13.8899,14.07,13.66,13.7,10928364.63,,,5.9244,,,1.0,BBVA.BMEX,BMEX,2001-09-05T00:00:00
13.92,14.09,13.75,14.05,10354336.88,,,6.0758,,,1.0,BBVA.BMEX,BMEX,2001-09-04T00:00:00
14.1999,14.1999,13.7399,13.7799,7984030.42,,,5.9589,,,1.0,BBVA.BMEX,BMEX,2001-09-03T00:00:00
13.79,14.1999,13.63,14.1999,11344540.75,,,6.1403,,,1.0,BBVA.BMEX,BMEX,2001-08-31T00:00:00
14.1101,14.2899,13.7599,13.7599,7322500.87,,,5.9507,,,1.0,BBVA.BMEX,BMEX,2001-08-30T00:00:00
