open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,symbol,exchange,date
14.44,14.64,14.17,14.55,1141677.0,,,7.9893,,,1.0,ENG.BMEX,BMEX,2005-10-28T00:00:00
14.73,14.73,14.2,14.32,1012106.0,,,7.863,,,1.0,ENG.BMEX,BMEX,2005-10-27T00:00:00
14.75,15.06,14.74,14.75,1581839.0,,,8.0992,,,1.0,ENG.BMEX,BMEX,2005-10-26T00:00:00
15.1,15.1,14.64,14.76,1953650.0,,,8.1047,,,1.0,ENG.BMEX,BMEX,2005-10-25T00:00:00
14.36,15.03,14.36,15.03,2163018.0,,,8.253,,,1.0,ENG.BMEX,BMEX,2005-10-24T00:00:00
14.18,14.41,14.02,14.41,1256070.0,,,7.9125,,,1.0,ENG.BMEX,BMEX,2005-10-21T00:00:00
14.15,14.43,14.05,14.21,1444593.0,,,7.8027,,,1.0,ENG.BMEX,BMEX,2005-10-20T00:00:00
14.25,14.33,13.86,14.2,2326038.0,,,7.7972,,,1.0,ENG.BMEX,BMEX,2005-10-19T00:00:00
14.8,14.81,14.42,14.48,1593039.0,,,7.9509,,,1.0,ENG.BMEX,BMEX,2005-10-18T00:00:00
14.48,14.85,14.45,14.69,842927.0,,,8.0664,,,1.0,ENG.BMEX,BMEX,2005-10-17T00:00:00
14.7,14.7,14.2,14.48,3857421.0,,,7.9509,,,1.0,ENG.BMEX,BMEX,2005-10-14T00:00:00
15.01,15.05,14.61,14.7,2084833.0,,,8.0716,,,1.0,ENG.BMEX,BMEX,2005-10-13T00:00:00
14.84,15.1,14.8,15.1,1101658.0,,,8.2916,,,1.0,ENG.BMEX,BMEX,2005-10-12T00:00:00
14.87,14.98,14.85,14.95,987122.0,,,8.2093,,,1.0,ENG.BMEX,BMEX,2005-10-11T00:00:00
14.95,15.04,14.81,14.81,1139854.0,,,8.1322,,,1.0,ENG.BMEX,BMEX,2005-10-10T00:00:00
14.86,15.0,14.8,14.95,1028111.0,,,8.2093,,,1.0,ENG.BMEX,BMEX,2005-10-07T00:00:00
15.04,15.25,14.82,14.94,1553793.0,,,8.2037,,,1.0,ENG.BMEX,BMEX,2005-10-06T00:00:00
15.05,15.38,15.05,15.2,2301182.0,,,8.3464,,,1.0,ENG.BMEX,BMEX,2005-10-05T00:00:00
15.21,15.28,15.02,15.15,1732773.0,,,8.319,,,1.0,ENG.BMEX,BMEX,2005-10-04T00:00:00
14.95,15.44,14.93,15.18,1767735.0,,,8.3355,,,1.0,ENG.BMEX,BMEX,2005-10-03T00:00:00
14.95,15.02,14.87,14.95,1463514.0,,,8.2093,,,1.0,ENG.BMEX,BMEX,2005-09-30T00:00:00
14.91,14.95,14.75,14.95,932634.0,,,8.2093,,,1.0,ENG.BMEX,BMEX,2005-09-29T00:00:00
15.01,15.04,14.85,14.89,879161.0,,,8.1761,,,1.0,ENG.BMEX,BMEX,2005-09-28T00:00:00
14.74,14.97,14.72,14.95,975349.0,,,8.2093,,,1.0,ENG.BMEX,BMEX,2005-09-27T00:00:00
14.9,15.0,14.73,14.8,682088.0,,,8.1269,,,1.0,ENG.BMEX,BMEX,2005-09-26T00:00:00
14.95,14.95,14.7,14.84,606372.0,,,8.1488,,,1.0,ENG.BMEX,BMEX,2005-09-23T00:00:00
14.92,14.95,14.76,14.83,614406.0,,,8.1431,,,1.0,ENG.BMEX,BMEX,2005-09-22T00:00:00
14.92,15.0,14.86,14.97,975973.0,,,8.22,,,1.0,ENG.BMEX,BMEX,2005-09-21T00:00:00
15.0,15.0,14.91,14.97,724750.0,,,8.22,,,1.0,ENG.BMEX,BMEX,2005-09-20T00:00:00
14.87,15.03,14.81,14.95,921224.0,,,8.2093,,,1.0,ENG.BMEX,BMEX,2005-09-19T00:00:00
14.85,14.97,14.76,14.87,1587912.0,,,8.1652,,,1.0,ENG.BMEX,BMEX,2005-09-16T00:00:00
14.89,14.99,14.83,14.88,885111.0,,,8.1706,,,1.0,ENG.BMEX,BMEX,2005-09-15T00:00:00
14.81,14.98,14.77,14.85,958728.0,,,8.1542,,,1.0,ENG.BMEX,BMEX,2005-09-14T00:00:00
14.98,15.0,14.7,14.75,1079450.0,,,8.0992,,,1.0,ENG.BMEX,BMEX,2005-09-13T00:00:00
15.15,15.15,14.83,14.95,1454380.0,,,8.2093,,,1.0,ENG.BMEX,BMEX,2005-09-12T00:00:00
15.0,15.05,14.94,15.03,972491.0,,,8.253,,,1.0,ENG.BMEX,BMEX,2005-09-09T00:00:00
15.01,15.05,14.85,15.05,1185349.0,,,8.264,,,1.0,ENG.BMEX,BMEX,2005-09-08T00:00:00
14.99,15.15,14.85,15.04,1334778.0,,,8.2587,,,1.0,ENG.BMEX,BMEX,2005-09-07T00:00:00
14.3,15.05,14.3,14.99,3678548.0,,,8.231,,,1.0,ENG.BMEX,BMEX,2005-09-06T00:00:00
14.65,14.73,14.2,14.3,1697768.0,,,7.8521,,,1.0,ENG.BMEX,BMEX,2005-09-05T00:00:00
14.35,14.65,14.3,14.61,1235153.0,,,8.0224,,,1.0,ENG.BMEX,BMEX,2005-09-02T00:00:00
14.06,14.36,14.02,14.3,898061.0,,,7.8521,,,1.0,ENG.BMEX,BMEX,2005-09-01T00:00:00
14.0,14.08,13.92,14.04,1793413.0,,,7.7095,,,1.0,ENG.BMEX,BMEX,2005-08-31T00:00:00
13.87,14.05,13.87,13.98,1249937.0,,,7.6766,,,1.0,ENG.BMEX,BMEX,2005-08-30T00:00:00
13.82,14.04,13.81,13.96,431282.0,,,7.6656,,,1.0,ENG.BMEX,BMEX,2005-08-29T00:00:00
14.11,14.15,13.82,13.93,836458.0,,,7.6489,,,1.0,ENG.BMEX,BMEX,2005-08-26T00:00:00
14.05,14.15,14.0,14.11,984786.0,,,7.7478,,,1.0,ENG.BMEX,BMEX,2005-08-25T00:00:00
14.04,14.14,14.0,14.14,577515.0,,,7.7643,,,1.0,ENG.BMEX,BMEX,2005-08-24T00:00:00
14.01,14.13,14.0,14.09,1256615.0,,,7.7367,,,1.0,ENG.BMEX,BMEX,2005-08-23T00:00:00
13.93,14.08,13.93,14.03,180847.0,,,7.7037,,,1.0,ENG.BMEX,BMEX,2005-08-22T00:00:00
13.91,14.03,13.87,13.99,525534.0,,,7.682,,,1.0,ENG.BMEX,BMEX,2005-08-19T00:00:00
13.9,13.96,13.82,13.94,469280.0,,,7.6545,,,1.0,ENG.BMEX,BMEX,2005-08-18T00:00:00
13.89,13.96,13.85,13.93,716710.0,,,7.6489,,,1.0,ENG.BMEX,BMEX,2005-08-17T00:00:00
14.05,14.08,13.91,13.95,386582.0,,,7.6597,,,1.0,ENG.BMEX,BMEX,2005-08-16T00:00:00
14.15,14.15,13.99,14.04,333227.0,,,7.7095,,,1.0,ENG.BMEX,BMEX,2005-08-15T00:00:00
14.03,14.12,13.94,14.05,675751.0,,,7.7149,,,1.0,ENG.BMEX,BMEX,2005-08-12T00:00:00
13.9,14.01,13.88,14.0,1653157.0,,,7.6873,,,1.0,ENG.BMEX,BMEX,2005-08-11T00:00:00
13.95,13.97,13.84,13.94,5509009.0,,,7.6545,,,1.0,ENG.BMEX,BMEX,2005-08-10T00:00:00
13.98,14.09,13.81,13.87,2185344.0,,,7.6161,,,1.0,ENG.BMEX,BMEX,2005-08-09T00:00:00
14.04,14.24,13.97,14.08,904385.0,,,7.7316,,,1.0,ENG.BMEX,BMEX,2005-08-08T00:00:00
