open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,symbol,exchange,date
20.68,20.68,19.45,19.5,6073824.91,,,3.0286,,,1.0,ITX.BMEX,BMEX,2001-11-01T00:00:00
19.36,20.8,19.36,20.7,6872034.9,,,3.2151,,,1.0,ITX.BMEX,BMEX,2001-10-31T00:00:00
20.0,20.45,19.31,19.31,5488274.92,,,2.9989,,,1.0,ITX.BMEX,BMEX,2001-10-30T00:00:00
20.5,20.74,19.75,20.0,6331189.91,,,3.106,,,1.0,ITX.BMEX,BMEX,2001-10-29T00:00:00
19.56,21.0,19.56,20.5,11483494.83,,,3.1838,,,1.0,ITX.BMEX,BMEX,2001-10-26T00:00:00
19.65,20.19,19.4,19.94,7613384.89,,,3.0969,,,1.0,ITX.BMEX,BMEX,2001-10-25T00:00:00
19.13,19.9,19.07,19.61,6842219.9,,,3.0457,,,1.0,ITX.BMEX,BMEX,2001-10-24T00:00:00
19.19,19.45,18.95,19.45,4390339.93,,,3.0208,,,1.0,ITX.BMEX,BMEX,2001-10-23T00:00:00
19.0,19.41,18.61,19.41,4003244.94,,,3.0144,,,1.0,ITX.BMEX,BMEX,2001-10-22T00:00:00
19.28,19.4,18.53,18.9,5766384.91,,,2.9351,,,1.0,ITX.BMEX,BMEX,2001-10-19T00:00:00
18.12,19.4,18.12,19.29,4439289.93,,,2.9959,,,1.0,ITX.BMEX,BMEX,2001-10-18T00:00:00
18.11,18.98,18.11,18.98,6159809.91,,,2.9477,,,1.0,ITX.BMEX,BMEX,2001-10-17T00:00:00
18.05,18.2,18.03,18.07,5400629.92,,,2.8063,,,1.0,ITX.BMEX,BMEX,2001-10-16T00:00:00
18.31,18.48,17.64,18.2,4247619.94,,,2.8265,,,1.0,ITX.BMEX,BMEX,2001-10-15T00:00:00
18.52,18.79,18.38,18.6,6970954.9,,,2.8887,,,1.0,ITX.BMEX,BMEX,2001-10-11T00:00:00
18.66,18.78,18.26,18.7,5954149.91,,,2.9041,,,1.0,ITX.BMEX,BMEX,2001-10-10T00:00:00
17.51,18.6,17.51,18.43,3660914.95,,,2.8621,,,1.0,ITX.BMEX,BMEX,2001-10-09T00:00:00
17.51,18.5,17.5,17.75,2584649.96,,,2.7568,,,1.0,ITX.BMEX,BMEX,2001-10-08T00:00:00
17.79,18.37,17.62,17.95,5623594.92,,,2.788,,,1.0,ITX.BMEX,BMEX,2001-10-05T00:00:00
17.6,18.2,17.6,18.0,10895059.84,,,2.7955,,,1.0,ITX.BMEX,BMEX,2001-10-04T00:00:00
18.03,18.05,17.5,17.5,7564844.89,,,2.7179,,,1.0,ITX.BMEX,BMEX,2001-10-03T00:00:00
18.41,18.69,18.1,18.12,13362979.8,,,2.8141,,,1.0,ITX.BMEX,BMEX,2001-10-02T00:00:00
18.15,18.63,18.0,18.6,9261159.86,,,2.8887,,,1.0,ITX.BMEX,BMEX,2001-10-01T00:00:00
17.81,18.5,17.81,18.5,7541989.89,,,2.873,,,1.0,ITX.BMEX,BMEX,2001-09-28T00:00:00
18.5,18.5,17.66,18.05,10056469.85,,,2.8035,,,1.0,ITX.BMEX,BMEX,2001-09-27T00:00:00
17.95,18.94,17.47,18.81,11030614.83,,,2.9214,,,1.0,ITX.BMEX,BMEX,2001-09-26T00:00:00
17.32,17.98,17.02,17.98,11161624.83,,,2.7924,,,1.0,ITX.BMEX,BMEX,2001-09-25T00:00:00
15.6,17.18,15.6,17.18,16563349.75,,,2.6681,,,1.0,ITX.BMEX,BMEX,2001-09-24T00:00:00
16.74,16.74,15.15,15.3,25456704.62,,,2.3761,,,1.0,ITX.BMEX,BMEX,2001-09-21T00:00:00
