low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,symbol,exchange,date
138.05,139.65,143990.0,,,139.65,,,1.0,AENA.BMEX,BMEX,2021-07-01T00:00:00
136.3,138.3,167332.0,,,138.3,,,1.0,AENA.BMEX,BMEX,2021-06-30T00:00:00
137.55,138.75,204709.0,,,138.75,,,1.0,AENA.BMEX,BMEX,2021-06-29T00:00:00
141.9,141.9,263999.0,,,141.9,,,1.0,AENA.BMEX,BMEX,2021-06-28T00:00:00
144.6,148.05,173430.0,,,148.05,,,1.0,AENA.BMEX,BMEX,2021-06-25T00:00:00
142.55,147.15,211170.0,,,147.15,,,1.0,AENA.BMEX,BMEX,2021-06-24T00:00:00
142.15,142.6,104476.0,,,142.6,,,1.0,AENA.BMEX,BMEX,2021-06-23T00:00:00
142.3,142.6,60507.0,,,142.6,,,1.0,AENA.BMEX,BMEX,2021-06-22T00:00:00
139.55,143.0,120786.0,,,143.0,,,1.0,AENA.BMEX,BMEX,2021-06-21T00:00:00
141.0,142.2,395257.0,,,142.2,,,1.0,AENA.BMEX,BMEX,2021-06-18T00:00:00
144.0,145.1,124392.0,,,145.1,,,1.0,AENA.BMEX,BMEX,2021-06-17T00:00:00
142.15,143.1,90511.0,,,143.1,,,1.0,AENA.BMEX,BMEX,2021-06-16T00:00:00
141.85,142.35,121136.0,,,142.35,,,1.0,AENA.BMEX,BMEX,2021-06-15T00:00:00
140.5,143.1,118328.0,,,143.1,,,1.0,AENA.BMEX,BMEX,2021-06-14T00:00:00
140.45,140.45,157205.0,,,140.45,,,1.0,AENA.BMEX,BMEX,2021-06-11T00:00:00
141.2,141.25,116447.0,,,141.25,,,1.0,AENA.BMEX,BMEX,2021-06-10T00:00:00
139.45,144.95,265422.0,,,144.95,,,1.0,AENA.BMEX,BMEX,2021-06-09T00:00:00
139.0,139.0,189473.0,,,139.0,,,1.0,AENA.BMEX,BMEX,2021-06-08T00:00:00
139.45,141.6,178114.0,,,141.6,,,1.0,AENA.BMEX,BMEX,2021-06-07T00:00:00
140.2,140.55,177938.0,,,140.55,,,1.0,AENA.BMEX,BMEX,2021-06-04T00:00:00
141.35,141.8,176627.0,,,141.8,,,1.0,AENA.BMEX,BMEX,2021-06-03T00:00:00
144.0,144.7,105859.0,,,144.7,,,1.0,AENA.BMEX,BMEX,2021-06-02T00:00:00
143.35,145.65,154023.0,,,145.65,,,1.0,AENA.BMEX,BMEX,2021-06-01T00:00:00
142.75,143.5,126055.0,,,143.5,,,1.0,AENA.BMEX,BMEX,2021-05-31T00:00:00
142.2,143.0,164110.0,,,143.0,,,1.0,AENA.BMEX,BMEX,2021-05-28T00:00:00
141.45,141.45,785068.0,,,141.45,,,1.0,AENA.BMEX,BMEX,2021-05-27T00:00:00
